job_id,job_title,company_id,country_id,platform_id,experience_level,employment_type,salary_min_usd,salary_max_usd,remote_option,applicants_estimate,average_salary_usd
JOB-50,Senior Data Scientist,11,5,1003,Senior,Full-time,123355,137603,Hybrid,471,130479
JOB-51,Senior Data Analyst,20,12,1001,Entry,Full-time,55323,78650,Remote,270,66987
JOB-52,Senior Data Scientist,3,4,1003,Mid,Full-time,89624,112475,Onsite,23,101050
JOB-53,Business Intelligence Analyst,2,10,1002,Senior,Full-time,56445,72450,Onsite,415,64448
JOB-54,Business Intelligence Analyst,5,9,1005,Mid,Contract,65648,77789,Remote,444,71719
JOB-55,Senior Data Scientist,13,7,1004,Mid,Full-time,93569,101788,Hybrid,297,97679
JOB-56,Data Scientist,5,9,1006,Lead,Part-time,91595,107651,Hybrid,294,99623
JOB-57,Analytics Engineer,20,9,1003,Lead,Part-time,135601,144826,Onsite,204,140214
JOB-58,Data Analyst,10,6,1005,Senior,Contract,89032,95596,Onsite,186,92314
JOB-59,Business Intelligence Analyst,3,8,1002,Senior,Part-time,68299,98438,Remote,135,83369
JOB-60,Senior Data Engineer,19,8,1001,Senior,Part-time,149912,174838,Hybrid,418,162375
JOB-61,AI Engineer,19,10,1005,Entry,Part-time,108653,124152,Remote,216,116403
JOB-62,Data Engineer,12,12,1006,Mid,Full-time,177709,203493,Onsite,590,190601
JOB-63,Data Engineer,5,8,1003,Mid,Part-time,105404,115525,Hybrid,581,110465
JOB-64,Senior Data Analyst,16,13,1006,Senior,Contract,75110,91141,Onsite,271,83126
JOB-65,Senior Data Engineer,8,5,1005,Entry,Part-time,132321,144760,Hybrid,476,138541
JOB-66,AI Engineer,4,6,1005,Mid,Full-time,133636,154472,Remote,561,144054
JOB-67,Machine Learning Engineer,1,3,1003,Mid,Part-time,168162,181771,Remote,411,174967
JOB-68,Senior Data Analyst,11,5,1005,Senior,Full-time,49710,81354,Hybrid,376,65532
JOB-69,Business Intelligence Analyst,13,9,1006,Entry,Part-time,68301,77625,Onsite,589,72963
JOB-70,Analytics Engineer,1,10,1005,Mid,Part-time,155617,185749,Hybrid,272,170683
JOB-71,Senior Data Engineer,4,2,1002,Mid,Contract,160312,169289,Onsite,315,164801
JOB-72,Data Engineer,13,2,1006,Lead,Part-time,121450,144602,Hybrid,586,133026
JOB-73,Machine Learning Engineer,10,1,1001,Lead,Contract,134327,155177,Onsite,98,144752
JOB-74,AI Engineer,9,4,1002,Lead,Contract,163215,176196,Onsite,253,169706
JOB-75,Machine Learning Engineer,4,8,1004,Lead,Contract,154108,182800,Onsite,554,168454
JOB-76,Machine Learning Engineer,15,10,1004,Entry,Part-time,119818,150906,Remote,412,135362
JOB-77,AI Engineer,12,11,1001,Mid,Part-time,110693,131872,Remote,475,121283
JOB-78,Business Intelligence Analyst,5,4,1004,Senior,Contract,52029,71008,Remote,570,61519
JOB-79,Data Scientist,14,5,1001,Entry,Contract,123039,144524,Remote,357,133782
JOB-80,Senior Data Scientist,3,11,1004,Mid,Contract,102911,128259,Hybrid,522,115585
JOB-81,Senior Data Analyst,6,9,1001,Senior,Full-time,73226,87683,Hybrid,319,80455
JOB-82,Senior Data Engineer,6,11,1004,Mid,Contract,157087,170032,Remote,323,163560
JOB-83,Senior Data Scientist,17,11,1005,Entry,Full-time,107465,119873,Hybrid,153,113669
JOB-84,AI Engineer,12,9,1004,Entry,Part-time,132748,157687,Onsite,77,145218
JOB-85,Senior Data Scientist,18,6,1002,Lead,Full-time,135137,168943,Hybrid,352,152040
JOB-86,Business Intelligence Analyst,3,4,1005,Mid,Full-time,75675,101146,Remote,408,88411
JOB-87,Analytics Engineer,7,1,1006,Entry,Contract,162129,167280,Hybrid,551,164705
JOB-88,Business Intelligence Analyst,6,2,1002,Entry,Full-time,50232,73304,Onsite,506,61768
JOB-89,Senior Data Scientist,17,3,1001,Senior,Full-time,141594,164656,Hybrid,237,153125
JOB-90,Analytics Engineer,19,13,1002,Lead,Part-time,119949,144724,Hybrid,206,132337
JOB-91,Analytics Engineer,1,13,1004,Senior,Part-time,120702,153423,Remote,395,137063
JOB-92,Analytics Engineer,16,3,1006,Entry,Part-time,166381,172693,Hybrid,131,169537
JOB-93,Analytics Engineer,13,12,1005,Mid,Part-time,148645,174733,Remote,111,161689
JOB-94,Senior Data Scientist,2,10,1006,Entry,Part-time,139194,144425,Hybrid,26,141810
JOB-95,Data Scientist,6,5,1001,Lead,Contract,98735,106734,Hybrid,38,102735
JOB-96,Data Analyst,3,10,1001,Mid,Full-time,48564,73728,Onsite,366,61146
JOB-97,Machine Learning Engineer,9,8,1001,Senior,Contract,126247,152564,Remote,222,139406
JOB-98,Business Intelligence Analyst,8,1,1003,Entry,Part-time,46560,72521,Onsite,276,59541
JOB-99,Business Intelligence Analyst,16,6,1003,Mid,Part-time,87874,93729,Onsite,313,90802
JOB-100,Data Analyst,5,9,1003,Senior,Contract,87829,102890,Onsite,122,95360
JOB-101,Data Engineer,1,10,1001,Entry,Full-time,170222,179608,Hybrid,445,174915
JOB-102,Data Analyst,2,7,1004,Mid,Full-time,45441,57555,Remote,159,51498
JOB-103,Business Intelligence Analyst,4,10,1003,Entry,Contract,50357,66190,Onsite,536,58274
JOB-104,Business Intelligence Analyst,13,8,1005,Mid,Contract,75446,87510,Onsite,279,81478
JOB-105,Business Intelligence Analyst,4,4,1002,Lead,Part-time,80203,98512,Hybrid,406,89358
JOB-106,Senior Data Engineer,8,5,1005,Mid,Part-time,143504,158732,Hybrid,363,151118
JOB-107,AI Engineer,15,7,1001,Entry,Full-time,141837,150223,Onsite,467,146030
JOB-108,Senior Data Engineer,2,13,1002,Lead,Full-time,159465,185081,Remote,503,172273
JOB-109,Analytics Engineer,19,4,1002,Lead,Part-time,117806,132344,Onsite,265,125075
JOB-110,Analytics Engineer,16,3,1004,Entry,Part-time,165917,177544,Onsite,66,171731
JOB-111,Senior Data Engineer,17,3,1003,Lead,Full-time,111253,134181,Onsite,440,122717
JOB-112,AI Engineer,15,9,1006,Senior,Part-time,172499,204725,Onsite,316,188612
JOB-113,Data Engineer,12,12,1006,Senior,Full-time,137857,171316,Onsite,345,154587
JOB-114,AI Engineer,6,6,1002,Lead,Part-time,166638,193722,Hybrid,483,180180
JOB-115,Data Analyst,5,5,1001,Mid,Part-time,78051,103740,Onsite,356,90896
JOB-116,Senior Data Engineer,10,1,1006,Mid,Part-time,110224,134942,Onsite,567,122583
JOB-117,Data Analyst,10,12,1001,Lead,Part-time,85022,91551,Onsite,408,88287
JOB-118,Senior Data Engineer,1,5,1006,Mid,Part-time,106224,132110,Onsite,250,119167
JOB-119,Senior Data Scientist,18,10,1005,Mid,Full-time,115250,146561,Remote,214,130906
JOB-120,Data Analyst,14,3,1003,Lead,Part-time,55480,80043,Onsite,544,67762
JOB-121,Senior Data Analyst,16,13,1005,Entry,Full-time,85608,115749,Onsite,425,100679
JOB-122,Senior Data Engineer,20,7,1002,Entry,Contract,167521,188753,Onsite,517,178137
JOB-123,AI Engineer,5,7,1006,Entry,Full-time,174395,181761,Remote,562,178078
JOB-124,Business Intelligence Analyst,11,5,1005,Entry,Contract,75388,106284,Onsite,43,90836
JOB-125,Analytics Engineer,4,10,1003,Senior,Part-time,175923,189275,Onsite,312,182599
JOB-126,Analytics Engineer,12,7,1005,Lead,Contract,169732,200519,Hybrid,110,185126
JOB-127,Data Analyst,6,13,1002,Senior,Contract,55221,89197,Onsite,17,72209
JOB-128,Analytics Engineer,7,11,1002,Mid,Full-time,109537,137057,Onsite,477,123297
JOB-129,Business Intelligence Analyst,12,2,1002,Entry,Contract,74439,104477,Remote,510,89458
JOB-130,Data Engineer,3,12,1001,Mid,Full-time,100033,134115,Onsite,426,117074
JOB-131,Business Intelligence Analyst,6,9,1004,Lead,Contract,71053,78869,Hybrid,161,74961
JOB-132,AI Engineer,10,11,1003,Senior,Full-time,134864,157443,Onsite,216,146154
JOB-133,AI Engineer,2,3,1002,Senior,Part-time,143705,164496,Hybrid,510,154101
JOB-134,Business Intelligence Analyst,3,11,1001,Mid,Contract,58253,88709,Remote,404,73481
JOB-135,Business Intelligence Analyst,1,5,1005,Mid,Full-time,63013,92557,Onsite,35,77785
JOB-136,Data Scientist,8,12,1005,Entry,Part-time,104472,114185,Onsite,132,109329
JOB-137,Analytics Engineer,15,12,1006,Senior,Contract,169773,176677,Hybrid,467,173225
JOB-138,Data Scientist,11,6,1003,Mid,Part-time,122619,136304,Onsite,227,129462
JOB-139,Data Engineer,2,11,1002,Senior,Contract,142133,157919,Remote,22,150026
JOB-140,AI Engineer,12,3,1002,Entry,Contract,169719,186957,Remote,254,178338
JOB-141,Analytics Engineer,18,4,1003,Mid,Full-time,99035,123485,Onsite,429,111260
JOB-142,Machine Learning Engineer,15,2,1006,Lead,Part-time,118958,141228,Remote,327,130093
JOB-143,Data Scientist,19,5,1004,Lead,Contract,81071,99458,Remote,471,90265
JOB-144,Analytics Engineer,8,6,1003,Lead,Full-time,134779,152215,Remote,50,143497
JOB-145,Senior Data Engineer,8,3,1002,Entry,Contract,172745,199589,Onsite,473,186167
JOB-146,Data Engineer,10,7,1001,Lead,Part-time,125825,134478,Remote,421,130152
JOB-147,Senior Data Engineer,18,3,1001,Senior,Full-time,179743,205386,Remote,65,192565
JOB-148,Senior Data Scientist,16,2,1001,Entry,Part-time,84414,109656,Hybrid,254,97035
JOB-149,AI Engineer,11,7,1005,Senior,Full-time,122959,139079,Onsite,81,131019
JOB-150,Data Scientist,11,8,1001,Lead,Contract,139010,171584,Remote,377,155297
JOB-151,Senior Data Analyst,8,10,1006,Lead,Part-time,88645,106934,Remote,514,97790
JOB-152,Data Analyst,1,3,1005,Mid,Contract,82433,93089,Onsite,34,87761
JOB-153,Data Analyst,9,12,1001,Lead,Contract,64366,84508,Onsite,170,74437
JOB-154,Data Engineer,14,2,1001,Lead,Contract,126179,152694,Remote,345,139437
JOB-155,Data Engineer,7,11,1005,Lead,Part-time,152113,184303,Onsite,475,168208
JOB-156,Senior Data Analyst,8,3,1004,Senior,Contract,71075,101861,Hybrid,99,86468
JOB-157,Data Engineer,14,6,1002,Mid,Contract,146943,158766,Hybrid,74,152855
JOB-158,Data Scientist,16,5,1005,Entry,Part-time,143285,152326,Onsite,498,147806
JOB-159,Senior Data Analyst,13,9,1004,Lead,Contract,72516,100813,Hybrid,107,86665
JOB-160,Data Analyst,11,6,1004,Entry,Part-time,63519,88814,Onsite,269,76167
JOB-161,Data Scientist,18,11,1003,Mid,Full-time,124896,129904,Remote,473,127400
JOB-162,Data Analyst,11,3,1004,Lead,Part-time,45815,75795,Hybrid,236,60805
JOB-163,Data Scientist,19,10,1004,Mid,Part-time,116002,141920,Remote,367,128961
JOB-164,Senior Data Scientist,10,8,1006,Senior,Contract,129814,138292,Remote,243,134053
JOB-165,Senior Data Analyst,8,9,1001,Lead,Contract,47496,67029,Onsite,410,57263
JOB-166,Machine Learning Engineer,13,4,1002,Mid,Part-time,155754,162348,Remote,555,159051
JOB-167,Data Scientist,4,6,1001,Entry,Part-time,88199,97091,Hybrid,55,92645
JOB-168,AI Engineer,2,9,1002,Lead,Part-time,148192,160646,Remote,224,154419
JOB-169,Data Scientist,7,8,1004,Senior,Contract,122449,153026,Onsite,97,137738
JOB-170,AI Engineer,18,7,1005,Mid,Contract,159069,177184,Onsite,140,168127
JOB-171,Data Engineer,8,7,1002,Lead,Part-time,128665,142557,Remote,399,135611
JOB-172,Senior Data Scientist,9,1,1004,Lead,Contract,140277,147526,Remote,62,143902
JOB-173,Senior Data Engineer,17,6,1004,Entry,Part-time,162066,182701,Hybrid,266,172384
JOB-174,AI Engineer,5,12,1004,Senior,Full-time,165987,190724,Remote,419,178356
JOB-175,Business Intelligence Analyst,7,2,1003,Senior,Full-time,79105,90070,Remote,22,84588
JOB-176,Machine Learning Engineer,4,13,1004,Mid,Contract,108343,126552,Onsite,232,117448
JOB-177,Business Intelligence Analyst,15,5,1005,Entry,Full-time,57626,63679,Remote,434,60653
JOB-178,Business Intelligence Analyst,3,3,1003,Lead,Contract,80555,96013,Hybrid,77,88284
JOB-179,Data Engineer,8,10,1004,Entry,Contract,153395,160409,Hybrid,74,156902
JOB-180,Data Analyst,3,8,1006,Entry,Part-time,55322,71196,Onsite,366,63259
JOB-181,Machine Learning Engineer,17,5,1003,Entry,Part-time,123804,152061,Onsite,30,137933
JOB-182,Machine Learning Engineer,6,7,1003,Senior,Part-time,114358,147215,Onsite,573,130787
JOB-183,Senior Data Analyst,1,5,1005,Senior,Contract,86908,92314,Hybrid,594,89611
JOB-184,Machine Learning Engineer,15,13,1002,Entry,Part-time,158304,168490,Hybrid,98,163397
JOB-185,Machine Learning Engineer,2,5,1001,Entry,Contract,113370,122345,Onsite,26,117858
JOB-186,Machine Learning Engineer,9,9,1005,Entry,Full-time,167537,185330,Remote,234,176434
JOB-187,Senior Data Analyst,16,7,1006,Entry,Part-time,76497,102237,Hybrid,558,89367
JOB-188,Analytics Engineer,18,9,1003,Mid,Part-time,98257,106954,Onsite,39,102606
JOB-189,Senior Data Analyst,3,12,1001,Senior,Contract,76068,103775,Onsite,210,89922
JOB-190,Data Analyst,15,12,1001,Mid,Full-time,66792,96754,Hybrid,500,81773
JOB-191,Senior Data Scientist,7,2,1001,Entry,Full-time,144302,170629,Remote,543,157466
JOB-192,Senior Data Scientist,8,12,1002,Senior,Contract,110520,129249,Remote,486,119885
JOB-193,Senior Data Engineer,12,11,1005,Entry,Contract,117653,147251,Remote,339,132452
JOB-194,Senior Data Engineer,6,6,1002,Entry,Contract,117094,143825,Hybrid,468,130460
JOB-195,AI Engineer,3,4,1004,Mid,Full-time,168810,181845,Hybrid,225,175328
JOB-196,Analytics Engineer,16,12,1002,Senior,Part-time,134017,167915,Hybrid,125,150966
JOB-197,AI Engineer,20,7,1005,Entry,Part-time,150294,164969,Hybrid,324,157632
JOB-198,Senior Data Scientist,8,8,1001,Lead,Full-time,145961,172256,Onsite,546,159109
JOB-199,Analytics Engineer,11,5,1001,Entry,Full-time,121595,131400,Onsite,469,126498
JOB-200,Machine Learning Engineer,2,7,1002,Senior,Part-time,162787,171814,Hybrid,577,167301
JOB-201,Senior Data Engineer,7,2,1005,Senior,Full-time,123415,154834,Hybrid,313,139125
JOB-202,Senior Data Engineer,2,12,1006,Mid,Full-time,107982,123818,Remote,401,115900
JOB-203,Senior Data Engineer,13,5,1003,Mid,Part-time,154164,167644,Remote,162,160904
JOB-204,AI Engineer,4,4,1005,Mid,Full-time,163904,170302,Hybrid,190,167103
JOB-205,Analytics Engineer,1,8,1003,Senior,Full-time,105897,128769,Hybrid,68,117333
JOB-206,Business Intelligence Analyst,1,4,1003,Senior,Full-time,57752,84189,Remote,265,70971
JOB-207,Data Engineer,14,6,1005,Entry,Contract,134486,146708,Onsite,397,140597
JOB-208,Analytics Engineer,17,5,1006,Senior,Contract,162222,181990,Hybrid,202,172106
JOB-209,Data Analyst,3,9,1005,Senior,Full-time,46477,65060,Onsite,507,55769
JOB-210,Senior Data Analyst,13,3,1002,Entry,Contract,53023,62896,Onsite,74,57960
JOB-211,AI Engineer,14,9,1004,Senior,Contract,106733,139915,Remote,548,123324
JOB-212,Machine Learning Engineer,13,5,1004,Entry,Contract,168796,188102,Hybrid,435,178449
JOB-213,Senior Data Analyst,9,1,1004,Senior,Full-time,50400,68038,Hybrid,537,59219
JOB-214,Machine Learning Engineer,12,5,1001,Senior,Part-time,153747,182331,Onsite,330,168039
JOB-215,Machine Learning Engineer,9,3,1006,Lead,Contract,116666,125687,Remote,69,121177
JOB-216,Data Analyst,16,13,1001,Entry,Part-time,71634,76691,Onsite,568,74163
JOB-217,Senior Data Scientist,2,13,1004,Entry,Full-time,137615,152422,Onsite,107,145019
JOB-218,Machine Learning Engineer,10,6,1003,Entry,Contract,165349,177908,Hybrid,153,171629
JOB-219,Data Engineer,5,4,1002,Entry,Part-time,151112,172725,Remote,460,161919
JOB-220,Machine Learning Engineer,4,6,1006,Mid,Contract,174660,183778,Remote,402,179219
JOB-221,Data Scientist,6,6,1003,Entry,Full-time,123511,154627,Remote,557,139069
JOB-222,Data Analyst,16,6,1003,Senior,Part-time,62060,69123,Remote,143,65592
JOB-223,Analytics Engineer,18,3,1004,Entry,Contract,134751,165151,Hybrid,11,149951
JOB-224,Machine Learning Engineer,17,11,1001,Lead,Full-time,158966,175192,Hybrid,563,167079
JOB-225,Data Analyst,19,9,1004,Entry,Contract,89410,99253,Remote,597,94332
JOB-226,Data Engineer,18,6,1006,Senior,Contract,143472,170815,Onsite,256,157144
JOB-227,Analytics Engineer,20,3,1003,Senior,Full-time,116286,139487,Onsite,52,127887
JOB-228,Data Analyst,17,8,1003,Mid,Part-time,67183,97842,Hybrid,470,82513
JOB-229,AI Engineer,2,9,1001,Senior,Contract,112185,144721,Onsite,214,128453
JOB-230,Data Scientist,11,12,1005,Lead,Part-time,102120,116417,Hybrid,518,109269
JOB-231,AI Engineer,9,3,1001,Mid,Contract,150812,162024,Hybrid,306,156418
JOB-232,Data Engineer,8,1,1002,Lead,Part-time,128076,151668,Hybrid,475,139872
JOB-233,Analytics Engineer,4,10,1006,Entry,Part-time,169589,193905,Hybrid,283,181747
JOB-234,Analytics Engineer,15,2,1006,Mid,Contract,179183,197742,Onsite,354,188463
JOB-235,AI Engineer,1,5,1001,Senior,Contract,119776,146291,Remote,180,133034
JOB-236,Senior Data Engineer,5,10,1006,Senior,Full-time,134581,153736,Remote,43,144159
JOB-237,Business Intelligence Analyst,16,1,1003,Lead,Contract,78207,89073,Remote,419,83640
JOB-238,Data Analyst,16,2,1005,Senior,Full-time,71323,103360,Onsite,595,87342
JOB-239,Data Scientist,14,7,1001,Mid,Contract,139783,153365,Onsite,111,146574
JOB-240,AI Engineer,9,8,1002,Lead,Contract,113425,133652,Onsite,511,123539
JOB-241,Data Analyst,3,10,1001,Mid,Part-time,45327,60437,Remote,568,52882
JOB-242,Senior Data Analyst,2,2,1006,Lead,Part-time,72287,93906,Remote,64,83097
JOB-243,AI Engineer,6,3,1004,Mid,Full-time,103959,132549,Onsite,453,118254
JOB-244,Analytics Engineer,4,6,1002,Lead,Contract,150430,174874,Hybrid,508,162652
JOB-245,Machine Learning Engineer,14,7,1001,Senior,Full-time,123064,153906,Remote,58,138485
JOB-246,AI Engineer,20,7,1004,Mid,Part-time,119403,151222,Hybrid,65,135313
JOB-247,Analytics Engineer,17,12,1002,Lead,Part-time,136040,142066,Remote,165,139053
JOB-248,Senior Data Scientist,19,6,1006,Senior,Full-time,118135,140767,Remote,154,129451
JOB-249,Data Scientist,19,11,1006,Entry,Contract,128616,140560,Onsite,168,134588
JOB-250,Data Engineer,18,2,1001,Senior,Full-time,175329,202710,Remote,42,189020
JOB-251,Data Analyst,3,12,1001,Senior,Part-time,69814,83786,Onsite,462,76800
JOB-252,Data Analyst,11,4,1005,Entry,Part-time,87075,107912,Hybrid,169,97494
JOB-253,Senior Data Analyst,19,7,1003,Entry,Full-time,77570,92832,Hybrid,412,85201
JOB-254,Machine Learning Engineer,2,6,1006,Mid,Full-time,162710,171218,Onsite,64,166964
JOB-255,Machine Learning Engineer,18,12,1004,Senior,Full-time,116346,126703,Onsite,576,121525
JOB-256,Data Engineer,18,3,1006,Entry,Part-time,130694,158744,Onsite,475,144719
JOB-257,Data Analyst,1,8,1003,Senior,Part-time,45588,59400,Remote,311,52494
JOB-258,Machine Learning Engineer,11,9,1005,Lead,Contract,162287,195168,Onsite,405,178728
JOB-259,Data Scientist,20,13,1005,Entry,Part-time,146676,166456,Remote,321,156566
JOB-260,Senior Data Engineer,20,5,1002,Mid,Contract,143354,154019,Hybrid,21,148687
JOB-261,Senior Data Analyst,6,8,1003,Mid,Full-time,63510,80165,Hybrid,371,71838
JOB-262,Senior Data Engineer,9,1,1005,Senior,Full-time,99776,118367,Hybrid,419,109072
JOB-263,Analytics Engineer,12,3,1005,Mid,Part-time,124629,151589,Remote,475,138109
JOB-264,Data Scientist,18,11,1001,Mid,Part-time,95686,130277,Remote,409,112982
JOB-265,Machine Learning Engineer,15,5,1005,Mid,Contract,165707,185513,Hybrid,274,175610
JOB-266,Data Scientist,6,1,1005,Senior,Full-time,148649,158019,Hybrid,364,153334
JOB-267,Senior Data Analyst,1,7,1003,Lead,Full-time,48194,58746,Hybrid,93,53470
JOB-268,Data Analyst,15,9,1001,Mid,Full-time,88617,120164,Hybrid,445,104391
JOB-269,AI Engineer,11,13,1002,Entry,Full-time,132070,149805,Hybrid,76,140938
JOB-270,Analytics Engineer,2,12,1004,Lead,Contract,160990,172685,Onsite,334,166838
JOB-271,Business Intelligence Analyst,9,3,1005,Entry,Part-time,79115,97622,Onsite,455,88369
JOB-272,Data Scientist,15,8,1003,Senior,Part-time,112355,135581,Hybrid,565,123968
JOB-273,Analytics Engineer,11,6,1006,Senior,Part-time,157589,174890,Onsite,131,166240
JOB-274,Data Scientist,16,3,1006,Lead,Contract,81591,96090,Onsite,495,88841
JOB-275,Analytics Engineer,8,4,1002,Mid,Full-time,139165,167238,Remote,128,153202
JOB-276,Business Intelligence Analyst,1,13,1004,Senior,Part-time,52032,68803,Hybrid,522,60418
JOB-277,AI Engineer,4,10,1001,Senior,Part-time,174984,194816,Remote,121,184900
JOB-278,Senior Data Analyst,2,8,1002,Mid,Contract,49423,61154,Hybrid,143,55289
JOB-279,Data Analyst,12,12,1003,Entry,Contract,53677,70516,Remote,569,62097
JOB-280,Senior Data Engineer,17,9,1004,Mid,Part-time,118228,134792,Remote,233,126510
JOB-281,Senior Data Engineer,1,2,1003,Entry,Contract,136808,163532,Remote,517,150170
JOB-282,Senior Data Engineer,7,5,1003,Entry,Part-time,153911,172737,Hybrid,415,163324
JOB-283,Data Scientist,6,2,1006,Mid,Part-time,103427,134629,Onsite,60,119028
JOB-284,Machine Learning Engineer,2,11,1001,Mid,Part-time,179803,214512,Remote,306,197158
JOB-285,Analytics Engineer,13,7,1002,Senior,Contract,146982,171599,Hybrid,189,159291
JOB-286,Machine Learning Engineer,3,9,1005,Lead,Full-time,119921,129395,Remote,207,124658
JOB-287,Data Scientist,19,7,1003,Entry,Contract,84309,114107,Hybrid,211,99208
JOB-288,Data Scientist,2,5,1004,Lead,Full-time,109383,122844,Onsite,418,116114
JOB-289,Data Scientist,6,6,1006,Senior,Part-time,131134,149913,Onsite,483,140524
JOB-290,AI Engineer,1,13,1004,Lead,Part-time,178856,187778,Onsite,201,183317
JOB-291,Business Intelligence Analyst,7,2,1006,Entry,Part-time,87638,112352,Onsite,303,99995
JOB-292,Senior Data Engineer,17,10,1001,Lead,Contract,153821,187681,Remote,141,170751
JOB-293,Business Intelligence Analyst,15,11,1005,Entry,Part-time,85490,109169,Onsite,532,97330
JOB-294,Senior Data Engineer,19,4,1003,Entry,Contract,157878,164960,Onsite,201,161419
JOB-295,Data Engineer,2,3,1005,Mid,Part-time,139584,149849,Remote,227,144717
JOB-296,Senior Data Engineer,15,6,1005,Lead,Contract,103429,126351,Onsite,573,114890
JOB-297,Business Intelligence Analyst,20,8,1005,Lead,Contract,72925,90135,Hybrid,482,81530
